# From https://gist.github.com/PawelGerr/cb5886ee26c41ae2386b

.123 application/vnd.lotus-1-2-3
.sgi image/sgi
.sgimb application/x-sgimb
.sgl application/vnd.stardivision.writer-global
.sgm text/sgml
.sgml text/sgml
.sh application/x-sh
.shar application/x-shar
.shf application/shf+xml
.shtml text/html
.sid image/x-mrsid-image
.sig application/pgp-signature
.sil audio/silk
.silo model/mesh
.sis application/vnd.symbian.install
.sisx application/vnd.symbian.install
.sit application/x-stuffit
.sitemap application/xml
.sitx application/x-stuffitx
.skd application/vnd.koan
.skin application/xml
.skm application/vnd.koan
.skp application/vnd.koan
.skt application/vnd.koan
.sldm application/vnd.ms-powerpoint.slide.macroenabled.12
.sldx application/vnd.openxmlformats-officedocument.presentationml.slide
.slk application/vnd.ms-excel
.sln text/plain
.slt application/vnd.epson.salt
.slupkg-ms application/x-ms-license
.sm application/vnd.stepmania.stepchart
.smd audio/x-smd
.smf application/vnd.stardivision.math
.smi application/smil+xml
.smil application/smil+xml
.smv video/x-smv
.smx audio/x-smd
.smz audio/x-smd
.smzip application/vnd.stepmania.package
.snd audio/basic
.snf application/x-font-snf
.snippet application/xml
.snp application/octet-stream
.so application/octet-stream
.sol text/plain
.sor text/plain
.spc application/x-pkcs7-certificates
.spf application/vnd.yamaha.smaf-phrase
.spl application/x-futuresplash
.spot text/vnd.in3d.spot
.spp application/scvp-vp-response
.spq application/scvp-vp-request
.spx audio/ogg
.sql application/x-sql
.src application/x-wais-source
.srf text/plain
.srt application/x-subrip
.sru application/sru+xml
.srx application/sparql-results+xml
.ssdl application/ssdl+xml
.sse application/vnd.kodak-descriptor
.ssf application/vnd.epson.ssf
.SSISDeploymentManifest text/xml
.ssm application/streamingmedia
.ssml application/ssml+xml
.sst application/vnd.ms-pki.certstore
.st application/vnd.sailingtracker.track
.stc application/vnd.sun.xml.calc.template
